Source,Type,Target,Weight
Калинин Михаил Иванович (У),Undirected,Комитет ВЛКСМ Чувашии,1
Калинин Михаил Иванович (У),Undirected,Ленин Владимир Ильич (У),5
Калинин Михаил Иванович (У),Undirected,Сталин Иосиф Виссарионович (У),5
Калинин Михаил Иванович (У),Undirected,ЦК ВЛКСМ,5
Калинин Михаил Иванович (У),Undirected,Центральный вече народной молодежи Югославии,1
Калинин Михаил Иванович (У),Undirected,Центральный комитет ЛКСМ Белоруссии,1
Калинин Михаил Иванович (У),Undirected,Центральный комитет ЛКСМ Казахстана,1
Калинин Михаил Иванович (У),Undirected,Читинский центральный комитет ВЛКСМ,1
Калинин Михаил Иванович (У),Undirected,газета "Комсомольская правда",1
Комитет ВЛКСМ Чувашии,Undirected,Ленин Владимир Ильич (У),1
Комитет ВЛКСМ Чувашии,Undirected,Сталин Иосиф Виссарионович (У),1
Комитет ВЛКСМ Чувашии,Undirected,ЦК ВЛКСМ,1
Ленин Владимир Ильич (У),Undirected,Сталин Иосиф Виссарионович (У),5
Ленин Владимир Ильич (У),Undirected,ЦК ВЛКСМ,5
Ленин Владимир Ильич (У),Undirected,Центральный вече народной молодежи Югославии,1
Ленин Владимир Ильич (У),Undirected,Центральный комитет ЛКСМ Белоруссии,1
Ленин Владимир Ильич (У),Undirected,Центральный комитет ЛКСМ Казахстана,1
Ленин Владимир Ильич (У),Undirected,Читинский центральный комитет ВЛКСМ,1
Ленин Владимир Ильич (У),Undirected,газета "Комсомольская правда",1
Сталин Иосиф Виссарионович (У),Undirected,ЦК ВЛКСМ,5
Сталин Иосиф Виссарионович (У),Undirected,Центральный вече народной молодежи Югославии,1
Сталин Иосиф Виссарионович (У),Undirected,Центральный комитет ЛКСМ Белоруссии,1
Сталин Иосиф Виссарионович (У),Undirected,Центральный комитет ЛКСМ Казахстана,1
Сталин Иосиф Виссарионович (У),Undirected,Читинский центральный комитет ВЛКСМ,1
Сталин Иосиф Виссарионович (У),Undirected,газета "Комсомольская правда",1
Сталин Иосиф Виссарионович,Undirected,Юрьев Борис Николаевич,1
ЦК ВЛКСМ,Undirected,Центральный вече народной молодежи Югославии,1
ЦК ВЛКСМ,Undirected,Центральный комитет ЛКСМ Белоруссии,1
ЦК ВЛКСМ,Undirected,Центральный комитет ЛКСМ Казахстана,1
ЦК ВЛКСМ,Undirected,Читинский центральный комитет ВЛКСМ,1
ЦК ВЛКСМ,Undirected,газета "Комсомольская правда",1
Читинский центральный комитет ВЛКСМ,Undirected,газета "Комсомольская правда",1
